commit	quality_score	gate_pass	M1_palette	M2_dominant	M3_cct	M4_msssim	M5_edge	M6_texture	M7_vmaf	M8_temporal	M9_layer_indep	M10_role_cohere	model_version	elapsed_ms	status	description
none	0.5983	1	0.6111	0.6916	0.5682	0.2612	0.5987	0.8718	0.1687	0.9999	0.3216	0.8667	local-2026-03-29	135577	discard	exp #129
none	0.6014	1	0.6215	0.7166	0.5695	0.2579	0.5982	0.8587	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	138429	discard	exp #130
none	0.6032	1	0.6229	0.7066	0.5765	0.2638	0.5975	0.8776	0.1716	0.9999	0.3216	0.8667	local-2026-03-29	136519	discard	exp #131
none	0.6036	1	0.6147	0.7272	0.5762	0.2659	0.5950	0.8657	0.1717	0.9999	0.3216	0.8667	local-2026-03-29	137088	discard	exp #132
none	0.6045	1	0.6206	0.7221	0.5794	0.2627	0.5973	0.8709	0.1724	0.9999	0.3216	0.8667	local-2026-03-29	137687	discard	exp #133
none	0.5999	1	0.6124	0.7212	0.5632	0.2573	0.5964	0.8611	0.1686	0.9999	0.3216	0.8667	local-2026-03-29	135340	discard	exp #134
none	0.6027	1	0.6211	0.7124	0.5751	0.2625	0.5972	0.8704	0.1708	0.9999	0.3216	0.8667	local-2026-03-29	136541	discard	exp #135
none	0.6012	1	0.6275	0.7135	0.5711	0.2603	0.5970	0.8484	0.1721	0.9999	0.3216	0.8667	local-2026-03-29	134773	discard	exp #136
none	0.6009	1	0.6210	0.7016	0.5690	0.2584	0.6004	0.8735	0.1703	0.9999	0.3216	0.8667	local-2026-03-29	137902	discard	exp #137
none	0.6034	1	0.6166	0.7228	0.5739	0.2649	0.5964	0.8704	0.1707	0.9999	0.3216	0.8667	local-2026-03-29	135284	discard	exp #138
none	0.6043	1	0.6246	0.7162	0.5763	0.2630	0.5971	0.8758	0.1712	0.9999	0.3216	0.8667	local-2026-03-29	136449	discard	exp #139
none	0.6012	1	0.6163	0.7189	0.5681	0.2562	0.5995	0.8639	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	139154	discard	exp #140
none	0.6023	1	0.6203	0.7167	0.5693	0.2620	0.5974	0.8700	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	138799	discard	exp #141
none	0.6003	1	0.6196	0.6929	0.5742	0.2614	0.5998	0.8699	0.1708	0.9999	0.3216	0.8667	local-2026-03-29	135931	discard	exp #142
none	0.6014	1	0.6103	0.7173	0.5752	0.2636	0.5967	0.8609	0.1722	0.9999	0.3216	0.8667	local-2026-03-29	134905	discard	exp #143
none	0.6050	1	0.6179	0.7214	0.5784	0.2645	0.5974	0.8817	0.1717	0.9999	0.3216	0.8667	local-2026-03-29	136723	discard	exp #144
none	0.6005	1	0.6141	0.7061	0.5754	0.2637	0.5943	0.8627	0.1719	0.9999	0.3216	0.8667	local-2026-03-29	136325	discard	exp #145
none	0.6020	1	0.6174	0.6973	0.5771	0.2636	0.5978	0.8846	0.1702	0.9999	0.3216	0.8667	local-2026-03-29	135228	discard	exp #146
none	0.6012	1	0.6214	0.6912	0.5744	0.2628	0.5990	0.8804	0.1702	0.9999	0.3216	0.8667	local-2026-03-29	142186	discard	exp #147
none	0.6004	1	0.6176	0.7176	0.5716	0.2600	0.5947	0.8481	0.1719	0.9999	0.3216	0.8667	local-2026-03-29	137476	discard	exp #148
none	0.5983	1	0.6181	0.6786	0.5753	0.2614	0.5952	0.8712	0.1708	0.9999	0.3216	0.8667	local-2026-03-29	136402	discard	exp #149
none	0.6001	1	0.6092	0.7176	0.5644	0.2567	0.5985	0.8710	0.1683	0.9999	0.3216	0.8667	local-2026-03-29	136927	discard	exp #150
none	0.6052	1	0.6228	0.7202	0.5784	0.2639	0.5974	0.8797	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	137469	discard	exp #151
none	0.6016	1	0.6143	0.7187	0.5762	0.2635	0.5920	0.8584	0.1726	0.9999	0.3216	0.8667	local-2026-03-29	137749	discard	exp #152
none	0.6019	1	0.6108	0.7191	0.5751	0.2648	0.5970	0.8634	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	139786	discard	exp #153
none	0.6003	1	0.6123	0.7153	0.5666	0.2583	0.5977	0.8671	0.1691	0.9999	0.3216	0.8667	local-2026-03-29	136167	discard	exp #154
none	0.6017	1	0.6148	0.7222	0.5724	0.2609	0.5960	0.8578	0.1719	0.9999	0.3216	0.8667	local-2026-03-29	135549	discard	exp #155
none	0.6000	1	0.6169	0.7144	0.5676	0.2586	0.6001	0.8520	0.1706	0.9999	0.3216	0.8667	local-2026-03-29	137540	discard	exp #156
none	0.6055	1	0.6283	0.7193	0.5807	0.2642	0.5977	0.8706	0.1730	0.9999	0.3216	0.8667	local-2026-03-29	137021	discard	exp #157
none	0.6006	1	0.6208	0.7194	0.5701	0.2592	0.5952	0.8472	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	136944	discard	exp #158
none	0.6012	1	0.6098	0.7170	0.5712	0.2616	0.5968	0.8701	0.1697	0.9999	0.3216	0.8667	local-2026-03-29	137196	discard	exp #159
none	0.6015	1	0.6139	0.7212	0.5680	0.2567	0.5988	0.8685	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	138692	discard	exp #160
